,date,close
3769,2002-11-18,7300
3770,2002-11-15,7650
3771,2002-11-14,7650
3772,2002-11-13,7240
3773,2002-11-12,6990
3774,2002-11-11,7040
3775,2002-11-08,6950
3776,2002-11-07,6820
3777,2002-11-06,6980
3778,2002-11-05,6990
3779,2002-11-04,6770
3780,2002-11-01,6790
3781,2002-10-31,6700
3782,2002-10-30,6750
3783,2002-10-29,6990
3784,2002-10-28,6970
3785,2002-10-25,6950
3786,2002-10-24,6900
3787,2002-10-23,6880
3788,2002-10-22,6770
3789,2002-10-21,6880
3790,2002-10-18,6780
3791,2002-10-17,6630
3792,2002-10-16,6790
3793,2002-10-15,6650
3794,2002-10-14,6590
3795,2002-10-11,6490
3796,2002-10-10,6550
3797,2002-10-09,6890
3798,2002-10-08,7040
3799,2002-10-07,6850
3800,2002-10-04,7000
3801,2002-10-02,7250
3802,2002-10-01,7300
3803,2002-09-30,7480
3804,2002-09-27,7950
3805,2002-09-26,7100
3806,2002-09-25,6700
3807,2002-09-24,7400
3808,2002-09-23,7500
3809,2002-09-19,7930
3810,2002-09-18,7970
3811,2002-09-17,7780
3812,2002-09-16,7680
3813,2002-09-13,7790
3814,2002-09-12,8000
3815,2002-09-11,7380
3816,2002-09-10,7310
3817,2002-09-09,7520
3818,2002-09-06,7800
3819,2002-09-05,8100
3820,2002-09-04,7680
3821,2002-09-03,7810
3822,2002-09-02,7750
3823,2002-08-30,8070
3824,2002-08-29,8280
3825,2002-08-28,8250
3826,2002-08-27,8400
3827,2002-08-26,7500
3828,2002-08-23,7580
3829,2002-08-22,7550
3830,2002-08-21,7520
3831,2002-08-20,7670
3832,2002-08-19,7600
3833,2002-08-16,7320
3834,2002-08-14,7230
3835,2002-08-13,7320
3836,2002-08-12,7270
3837,2002-08-09,7200
3838,2002-08-08,7190
3839,2002-08-07,7190
3840,2002-08-06,7000
3841,2002-08-05,7180
3842,2002-08-02,7140
3843,2002-08-01,7140
3844,2002-07-31,7310
3845,2002-07-30,7400
3846,2002-07-29,7160
3847,2002-07-26,7150
3848,2002-07-25,7380
3849,2002-07-24,7120
3850,2002-07-23,7250
3851,2002-07-22,7070
3852,2002-07-19,7460
3853,2002-07-18,7800
3854,2002-07-16,7700
3855,2002-07-15,8000
3856,2002-07-12,8390
3857,2002-07-11,8700
3858,2002-07-10,9100
3859,2002-07-09,8130
3860,2002-07-08,7740
3861,2002-07-05,7850
3862,2002-07-04,7800
3863,2002-07-03,7230
3864,2002-07-02,7210
3865,2002-06-28,7250
3866,2002-06-27,6950
3867,2002-06-26,6690
3868,2002-06-25,7320
3869,2002-06-24,7700
3870,2002-06-21,8020
3871,2002-06-20,8340
3872,2002-06-19,8210
3873,2002-06-18,9290
3874,2002-06-17,9070
3875,2002-06-14,9000
3876,2002-06-12,9080
3877,2002-06-11,9110
3878,2002-06-10,9250
3879,2002-06-07,9050
3880,2002-06-05,9590
3881,2002-06-04,9610
3882,2002-06-03,9440
3883,2002-05-31,9390
3884,2002-05-30,9700
3885,2002-05-29,10100
3886,2002-05-28,11200
3887,2002-05-27,10800
3888,2002-05-24,11400
3889,2002-05-23,11800
3890,2002-05-22,12750
3891,2002-05-21,12950
3892,2002-05-20,13050
3893,2002-05-17,13400
3894,2002-05-16,14350
3895,2002-05-15,12850
3896,2002-05-14,12900
3897,2002-05-13,13600
3898,2002-05-10,13800
3899,2002-05-09,15000
3900,2002-05-08,14900
3901,2002-05-07,16900
3902,2002-05-06,19150
3903,2002-05-03,21750
3904,2002-05-02,19450
3905,2002-04-30,17400
3906,2002-04-29,17450
3907,2002-04-26,15600
3908,2002-04-25,13950
3909,2002-04-24,13600
3910,2002-04-23,15400
3911,2002-04-22,17500
3912,2002-04-19,17550
3913,2002-04-18,15700
3914,2002-04-17,14050
3915,2002-04-16,12550
3916,2002-04-15,13000
3917,2002-04-12,14100
3918,2002-04-11,12900
3919,2002-04-10,12900
3920,2002-04-09,12850
3921,2002-04-08,11500
3922,2002-04-04,11000
3923,2002-04-03,11100
3924,2002-04-02,10800
3925,2002-04-01,11100
3926,2002-03-29,11650
3927,2002-03-28,11700
3928,2002-03-27,11200
3929,2002-03-26,11000
3930,2002-03-25,10950
3931,2002-03-22,11100
3932,2002-03-21,10950
3933,2002-03-20,11200
3934,2002-03-19,11400
3935,2002-03-18,10900
3936,2002-03-15,10650
3937,2002-03-14,10500
3938,2002-03-13,10850
3939,2002-03-12,10900
3940,2002-03-11,11150
3941,2002-03-08,10800
3942,2002-03-07,10800
3943,2002-03-06,10550
3944,2002-03-05,10700
3945,2002-03-04,10900
3946,2002-02-28,10600
3947,2002-02-27,10500
3948,2002-02-26,10400
3949,2002-02-25,10200
3950,2002-02-22,10200
3951,2002-02-21,10100
3952,2002-02-20,10250
3953,2002-02-19,10400
3954,2002-02-18,10300
3955,2002-02-15,10300
3956,2002-02-14,10300
3957,2002-02-08,10100
3958,2002-02-07,10050
3959,2002-02-06,10450
3960,2002-02-05,10900
3961,2002-02-04,11250
3962,2002-02-01,10950
3963,2002-01-31,11100
3964,2002-01-30,10450
3965,2002-01-29,10400
3966,2002-01-28,10250
3967,2002-01-25,10200
3968,2002-01-24,11000
3969,2002-01-23,10500
3970,2002-01-22,10900
3971,2002-01-21,11200
3972,2002-01-18,10000
3973,2002-01-17,9980
3974,2002-01-16,9900
3975,2002-01-15,9900
3976,2002-01-14,10000
3977,2002-01-11,10000
3978,2002-01-10,9860
3979,2002-01-09,9890
